iter	Passed	Remaining
399	8692	13039
400	8708	13008
401	8724	12978
402	8740	12948
403	8757	12919
404	8773	12890
405	8791	12862
406	8807	12833
407	8823	12802
408	8839	12772
409	8856	12744
410	8872	12715
411	8888	12685
412	8904	12655
413	8919	12625
414	8938	12600
415	8956	12573
416	8973	12545
417	8988	12514
418	9003	12485
419	9021	12458
420	9038	12430
421	9065	12417
422	9086	12395
423	9108	12373
424	9127	12349
425	9147	12325
426	9170	12306
427	9190	12282
428	9209	12257
429	9228	12232
430	9247	12208
431	9267	12184
432	9284	12157
433	9302	12131
434	9317	12101
435	9335	12075
436	9353	12050
437	9371	12024
438	9389	11998
439	9406	11971
440	9422	11943
441	9440	11917
442	9456	11890
443	9473	11863
444	9488	11834
445	9507	11809
446	9523	11782
447	9539	11753
448	9556	11727
449	9574	11702
450	9591	11675
451	9609	11650
452	9627	11625
453	9645	11599
454	9665	11577
455	9684	11553
456	9704	11531
457	9723	11506
458	9743	11483
459	9763	11461
460	9781	11436
461	9802	11415
462	9827	11398
463	9858	11387
464	9877	11363
465	9894	11338
466	9911	11311
467	9928	11286
468	9947	11261
469	9968	11241
470	9991	11221
471	10009	11197
472	10029	11174
473	10048	11150
474	10071	11132
475	10091	11109
476	10110	11085
477	10129	11062
478	10150	11040
479	10169	11017
480	10190	10995
481	10220	10983
482	10254	10976
483	10276	10955
484	10300	10937
485	10318	10913
486	10336	10888
487	10354	10863
488	10370	10837
489	10388	10812
490	10404	10785
491	10420	10759
492	10436	10733
493	10452	10706
494	10469	10680
495	10485	10654
496	10503	10630
497	10520	10604
498	10535	10578
499	10551	10551
500	10566	10524
501	10582	10498
502	10599	10473
503	10615	10446
504	10634	10424
505	10650	10398
506	10666	10371
507	10681	10345
508	10699	10320
509	10715	10295
510	10731	10269
511	10746	10242
512	10762	10217
513	10778	10191
514	10794	10165
515	10812	10141
516	10828	10116
517	10844	10090
518	10860	10065
519	10876	10039
520	10892	10014
521	10909	9989
522	10925	9964
523	10942	9939
524	10958	9914
525	10974	9889
526	10990	9864
527	11007	9839
528	11027	9818
529	11045	9795
530	11063	9771
531	11080	9747
532	11096	9722
533	11391	9940
534	11458	9959
535	11480	9938
536	11502	9917
537	11521	9894
538	11543	9873
539	11569	9855
540	11593	9835
541	11625	9824
542	11645	9801
543	11666	9779
544	11688	9758
545	11708	9735
546	11738	9721
547	11756	9696
548	11778	9676
549	11795	9651
550	11815	9628
551	11845	9613
552	11863	9589
553	11880	9564
554	11897	9539
555	11914	9514
556	11930	9488
557	11948	9464
558	11965	9439
559	11981	9414
560	11999	9390
561	12015	9364
562	12032	9339
563	12048	9314
564	12063	9287
565	12078	9261
566	12098	9238
567	12119	9217
568	12140	9195
569	12163	9175
570	12181	9152
571	12201	9130
572	12224	9109
573	12244	9087
574	12262	9063
575	12281	9040
576	12307	9022
577	12326	8999
578	12345	8976
579	12370	8957
580	12387	8933
581	12405	8909
582	12424	8886
583	12441	8862
584	12457	8837
585	12473	8812
586	12490	8787
587	12505	8762
588	12521	8737
589	12538	8712
590	12552	8687
591	12568	8662
592	12584	8637
593	12600	8612
594	12617	8588
595	12634	8564
596	12650	8539
597	12666	8514
598	12680	8488
599	12694	8463
600	12710	8438
601	12726	8413
602	12748	8393
603	12765	8369
604	12781	8344
605	12799	8321
606	12818	8299
607	12837	8277
608	12857	8254
609	12878	8233
610	12897	8211
611	12916	8189
612	12936	8166
613	12953	8143
614	12971	8120
615	12988	8097
616	13006	8073
617	13027	8052
618	13048	8031
619	13066	8008
620	13085	7986
621	13103	7963
622	13121	7940
623	13143	7919
624	13166	7900
625	13184	7876
626	13201	7853
627	13220	7831
628	13243	7811
629	13261	7788
630	13279	7765
631	13297	7742
632	13315	7719
633	13331	7696
634	13347	7672
635	13364	7648
636	13380	7624
637	13395	7600
638	13412	7577
639	13427	7553
640	13443	7529
641	13460	7506
642	13476	7482
643	13491	7458
644	13507	7434
645	13522	7410
646	13540	7387
647	13558	7365
648	13574	7341
649	13590	7317
650	13608	7295
651	13626	7273
652	13645	7251
653	13663	7228
654	13689	7210
655	13707	7188
656	13726	7165
657	13744	7143
658	13763	7121
659	13786	7101
660	13804	7079
661	13822	7057
662	13839	7034
663	13857	7012
664	13877	6990
665	13899	6970
666	13917	6948
667	13935	6926
668	13957	6905
669	13975	6883
670	13998	6863
671	14017	6841
672	14034	6819
673	14052	6796
674	14070	6774
675	14091	6754
676	14109	6731
677	14130	6711
678	14151	6689
679	14169	6667
680	14187	6645
681	14206	6624
682	14223	6601
683	14240	6579
684	14255	6555
685	14271	6532
686	14287	6509
687	14303	6486
688	14319	6463
689	14335	6440
690	14350	6417
691	14370	6395
692	14386	6373
693	14403	6350
694	14418	6327
695	14433	6304
696	14450	6281
697	14465	6258
698	14482	6236
699	14502	6215
700	14522	6194
701	14539	6171
702	14556	6149
703	14572	6126
704	14590	6105
705	14610	6084
706	14628	6062
707	14645	6040
708	14664	6019
709	14681	5996
710	14697	5974
711	14715	5952
712	14732	5930
713	14748	5907
714	14771	5887
715	14787	5865
716	14808	5844
717	14840	5828
718	14860	5807
719	14879	5786
